object,hasId,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToOneRelation,dstToManyRelation,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Customer,1,2,0,1,1,0,0,0,UnionSuperclassStrategy,none,OwnAssociationTableStrategy,1
PreferredCustomer,1,1,1,0,0,0,0,0,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Order,1,2,0,0,0,0,0,1,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,1,2,0,1,1,0,0,0,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy,1
PreferredCustomer,1,1,1,0,0,0,0,0,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Customer,1,2,0,1,1,0,0,0,UnionSuperclassStrategy,none,OwnAssociationTableStrategy,0
Order,1,2,0,0,0,0,0,1,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
PreferredCustomer,1,1,1,0,0,0,0,0,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
PreferredCustomer,1,1,1,0,0,0,0,0,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Customer,1,2,0,1,1,0,0,0,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy,1
PreferredCustomer,1,1,1,0,0,0,0,0,UnionSubclassStrategy,UnionSubclassStrategy,none,0
Customer,1,2,0,1,1,0,0,0,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
PreferredCustomer,1,1,1,0,0,0,0,0,JoinedSubclassStrategy,UnionSubclassStrategy,none,0
Customer,1,2,0,1,1,0,0,0,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
PreferredCustomer,1,1,1,0,0,0,0,0,JoinedSubclassStrategy,UnionSubclassStrategy,none,0
Customer,1,2,0,1,1,0,0,0,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Order,1,2,0,0,0,0,0,1,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Customer,1,2,0,1,1,0,0,0,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Order,1,2,0,0,0,0,0,1,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
PreferredCustomer,1,1,1,0,0,0,0,0,UnionSubclassStrategy,UnionSubclassStrategy,none,0
