object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
WealthyScout,2,1,0,0,0,0,9,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
Scout,4,0,1,1,0,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
BadgeSpecification,2,0,0,1,0,0,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
CampSite,2,0,0,1,0,0,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
CampingTrip,3,0,0,0,1,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
WealthyScout,2,1,0,0,0,0,10,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
CampingTrip,3,0,0,0,1,1,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
CampSite,2,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Scout,4,0,1,1,0,1,10,UnionSuperclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
BadgeSpecification,2,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
BadgeAwarded,2,0,0,0,0,2,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
BadgeSpecification,2,0,0,1,0,0,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
WealthyScout,2,1,0,0,0,0,9,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Scout,4,0,1,1,0,1,9,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
CampingTrip,3,0,0,0,1,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
CampSite,2,0,0,1,0,0,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
CampingTrip,3,0,0,0,1,1,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
BadgeSpecification,2,0,0,1,0,0,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
CampSite,2,0,0,1,0,0,9,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Scout,4,0,1,1,0,1,9,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
WealthyScout,2,1,0,0,0,0,9,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
