object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Person,2,1,0,0,0,0,5,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
Customer,3,0,0,1,0,0,5,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Company,2,1,0,0,0,0,5,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
Customer,3,0,0,1,0,0,5,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Person,2,1,0,0,0,0,5,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Company,2,1,0,0,0,0,5,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
Customer,3,0,0,1,0,0,5,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Person,2,1,0,0,0,0,5,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
Company,2,1,0,0,0,0,5,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
Customer,3,0,0,1,0,0,5,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Person,2,1,0,0,0,0,5,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
Company,2,1,0,0,0,0,5,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Company,2,1,0,0,0,0,5,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
Customer,3,0,0,1,0,0,5,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Person,2,1,0,0,0,0,5,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
Company,2,1,0,0,0,0,5,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Person,2,1,0,0,0,0,5,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Customer,3,0,0,1,0,0,5,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
