object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Payment,4,0,0,0,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Customer,4,0,0,3,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Guest,1,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Admin,2,0,0,1,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Products,4,0,0,0,0,3,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Cart,4,0,0,0,0,0,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Cart,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Guest,1,0,0,1,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,1
Customer,4,0,0,3,0,0,10,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Admin,2,0,0,1,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Payment,4,0,0,0,0,0,10,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
