object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Customer,2,0,1,1,0,0,4,UnionSuperclassStrategy,none,OwnAssociationTableStrategy,1
PreferredCustomer,1,1,0,0,0,0,4,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Order,2,0,0,0,0,1,4,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Customer,2,0,1,1,0,0,3,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy,1
PreferredCustomer,1,1,0,0,0,0,3,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Customer,2,0,1,1,0,0,4,UnionSuperclassStrategy,none,OwnAssociationTableStrategy,0
Order,2,0,0,0,0,1,4,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
PreferredCustomer,1,1,0,0,0,0,4,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
PreferredCustomer,1,1,0,0,0,0,3,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Customer,2,0,1,1,0,0,3,UnionSuperclassStrategy,none,ForeignKeyEmbeddingStrategy,1
PreferredCustomer,1,1,0,0,0,0,3,UnionSubclassStrategy,UnionSubclassStrategy,none,0
Customer,2,0,1,1,0,0,3,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
PreferredCustomer,1,1,0,0,0,0,3,JoinedSubclassStrategy,UnionSubclassStrategy,none,0
Customer,2,0,1,1,0,0,3,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy,0
PreferredCustomer,1,1,0,0,0,0,4,JoinedSubclassStrategy,UnionSubclassStrategy,none,0
Customer,2,0,1,1,0,0,4,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Order,2,0,0,0,0,1,4,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Customer,2,0,1,1,0,0,4,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Order,2,0,0,0,0,1,4,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
PreferredCustomer,1,1,0,0,0,0,4,UnionSubclassStrategy,UnionSubclassStrategy,none,0
