object,attributes,parents,children,srcOneToRelation,srcManyToRelation,dstToManyRelation,numCorrespondingTables,mappingStrategy,parentMappingStrategy,associations,paretoOptimal
Participant,1,0,3,0,1,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
NameSpace,2,0,0,0,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
User,2,1,0,0,0,0,12,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Role,2,0,0,0,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Developer,1,1,0,0,0,0,12,UnionSubclassStrategy,UnionSubclassStrategy,none,1
Viewer,1,1,0,0,0,0,12,JoinedSubclassStrategy,UnionSubclassStrategy,none,1
DecisionSpace,2,0,0,2,1,0,12,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Role,2,0,0,0,0,1,11,UnionSubclassStrategy,none,OwnAssociationTableStrategy,1
Viewer,1,1,0,0,0,0,11,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
User,2,1,0,0,0,0,11,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
DecisionSpace,2,0,0,2,1,0,11,UnionSubclassStrategy,none,ForeignKeyEmbeddingStrategy+ForeignKeyEmbeddingStrategy+OwnAssociationTableStrategy,1
Developer,1,1,0,0,0,0,11,UnionSuperclassStrategy,UnionSuperclassStrategy,none,1
Participant,1,0,3,0,1,1,11,UnionSuperclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,1
Viewer,1,1,0,0,0,0,12,UnionSuperclassStrategy,UnionSuperclassStrategy,none,0
Role,2,0,0,0,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
Participant,1,0,3,0,1,1,12,UnionSuperclassStrategy,none,OwnAssociationTableStrategy+OwnAssociationTableStrategy,0
NameSpace,2,0,0,0,0,1,12,UnionSubclassStrategy,none,OwnAssociationTableStrategy,0
